CASE_ID,CASE_DATE,CASE_STATUS,CASE_RISK
CASE000462,2024-12-07,OPEN,HIGH
CASE004008,2023-10-29,CLOSED,MEDIUM
CASE000121,2023-01-24,ESCALATED,CRITICAL
CASE003577,2023-05-03,ESCALATED,MEDIUM
CASE000387,2023-01-09,ESCALATED,MEDIUM
CASE002281,2023-07-15,CLOSED,HIGH
CASE001371,2024-02-18,ESCALATED,HIGH
CASE000072,2023-11-16,CLOSED,HIGH
CASE002343,2023-01-17,CLOSED,CRITICAL
CASE004837,2023-01-02,ESCALATED,MEDIUM
CASE001807,2023-12-18,ESCALATED,CRITICAL
CASE004942,2024-03-14,CLOSED,HIGH
CASE001536,2023-03-12,OPEN,CRITICAL
CASE000145,2023-06-24,ESCALATED,MEDIUM
CASE001347,2024-02-04,CLOSED,CRITICAL
CASE000209,2024-09-21,OPEN,HIGH
CASE004636,2024-09-09,CLOSED,MEDIUM
CASE002668,2023-07-31,ESCALATED,MEDIUM
CASE000701,2023-11-11,CLOSED,HIGH
CASE001533,2023-06-27,ESCALATED,MEDIUM
CASE000416,2023-05-13,CLOSED,CRITICAL
CASE001461,2024-09-08,ESCALATED,CRITICAL
CASE002006,2024-11-06,OPEN,MEDIUM
CASE003135,2023-06-12,ESCALATED,HIGH
CASE004274,2023-12-14,OPEN,HIGH
CASE001863,2024-02-08,OPEN,MEDIUM
CASE002623,2023-02-23,CLOSED,HIGH
CASE003097,2024-05-16,ESCALATED,HIGH
CASE001686,2023-11-24,OPEN,CRITICAL
CASE003016,2024-06-27,ESCALATED,HIGH
CASE000634,2024-08-04,ESCALATED,HIGH
CASE004122,2024-07-01,OPEN,CRITICAL
CASE001317,2024-11-01,CLOSED,MEDIUM
CASE001650,2024-05-27,OPEN,HIGH
CASE000172,2023-04-03,ESCALATED,HIGH
CASE001256,2023-05-22,ESCALATED,MEDIUM
CASE002785,2023-11-15,ESCALATED,CRITICAL
CASE002415,2024-01-07,OPEN,CRITICAL
CASE004090,2023-05-31,CLOSED,MEDIUM
CASE001508,2024-09-17,CLOSED,CRITICAL
CASE002360,2024-10-02,CLOSED,CRITICAL
CASE003610,2024-07-27,ESCALATED,HIGH
CASE004679,2023-06-05,CLOSED,MEDIUM
CASE001454,2023-12-17,CLOSED,HIGH
CASE004974,2024-06-05,CLOSED,HIGH
CASE002163,2024-02-05,OPEN,MEDIUM
CASE001941,2024-12-10,ESCALATED,HIGH
CASE002836,2024-02-28,OPEN,HIGH
CASE001323,2023-10-21,CLOSED,CRITICAL
CASE002492,2024-08-19,OPEN,MEDIUM
CASE001836,2023-02-25,ESCALATED,CRITICAL
CASE002795,2024-02-27,OPEN,MEDIUM
CASE004934,2023-04-25,OPEN,HIGH
CASE000039,2024-05-02,OPEN,HIGH
CASE004439,2024-02-15,CLOSED,CRITICAL
CASE000320,2024-04-07,ESCALATED,HIGH
CASE003375,2023-10-05,OPEN,CRITICAL
CASE003602,2024-09-17,ESCALATED,MEDIUM
CASE003426,2023-11-20,ESCALATED,CRITICAL
CASE001854,2023-06-01,ESCALATED,CRITICAL
CASE000672,2023-04-30,ESCALATED,HIGH
CASE004966,2023-07-21,OPEN,CRITICAL
CASE000623,2024-06-11,ESCALATED,MEDIUM
CASE003636,2024-01-15,OPEN,HIGH
CASE000048,2023-05-21,CLOSED,HIGH
CASE000147,2023-06-11,OPEN,MEDIUM
CASE001925,2024-12-26,ESCALATED,CRITICAL
CASE000098,2023-10-26,CLOSED,MEDIUM
CASE000920,2023-02-21,OPEN,HIGH
CASE000620,2024-05-10,CLOSED,MEDIUM
CASE001133,2024-05-29,CLOSED,MEDIUM
CASE004948,2023-01-15,CLOSED,MEDIUM
CASE004330,2023-02-22,CLOSED,CRITICAL
CASE004139,2023-12-29,OPEN,CRITICAL
CASE002558,2024-07-09,CLOSED,MEDIUM
CASE002754,2023-04-15,CLOSED,MEDIUM
CASE001289,2023-04-21,ESCALATED,CRITICAL
CASE001401,2023-11-06,CLOSED,MEDIUM
CASE004979,2023-04-26,CLOSED,MEDIUM
CASE001266,2023-06-26,CLOSED,MEDIUM
CASE001433,2023-02-02,OPEN,CRITICAL
CASE001651,2024-07-29,OPEN,CRITICAL
CASE000648,2023-03-05,OPEN,MEDIUM
CASE004724,2023-11-27,CLOSED,HIGH
CASE000983,2023-08-10,OPEN,MEDIUM
CASE001233,2023-08-25,ESCALATED,HIGH
CASE000184,2024-10-07,ESCALATED,MEDIUM
CASE001858,2023-10-25,CLOSED,HIGH
CASE004626,2024-01-08,OPEN,CRITICAL
CASE002274,2023-09-21,OPEN,CRITICAL
CASE001260,2023-07-03,CLOSED,CRITICAL
CASE002692,2024-09-25,ESCALATED,MEDIUM
CASE004069,2023-10-19,ESCALATED,MEDIUM
CASE003195,2023-01-30,CLOSED,CRITICAL
CASE003079,2024-08-26,ESCALATED,CRITICAL
CASE001393,2024-10-08,CLOSED,MEDIUM
CASE003514,2023-12-13,ESCALATED,MEDIUM
CASE002481,2024-12-16,OPEN,HIGH
CASE001600,2023-10-11,OPEN,HIGH
CASE002611,2023-10-19,CLOSED,MEDIUM
CASE000820,2024-12-04,ESCALATED,MEDIUM
CASE003076,2024-07-03,CLOSED,CRITICAL
CASE001287,2023-01-09,OPEN,MEDIUM
CASE000501,2023-01-15,ESCALATED,MEDIUM
CASE001544,2024-10-03,OPEN,MEDIUM
CASE001000,2024-06-25,CLOSED,CRITICAL
CASE003554,2023-02-12,CLOSED,CRITICAL
CASE004693,2024-10-06,CLOSED,HIGH
CASE002577,2023-10-31,OPEN,MEDIUM
CASE002126,2024-12-09,CLOSED,MEDIUM
CASE003731,2023-11-19,OPEN,CRITICAL
CASE001139,2023-08-22,ESCALATED,CRITICAL
CASE002365,2023-01-05,OPEN,CRITICAL
CASE003487,2024-07-23,OPEN,HIGH
CASE003332,2023-07-01,ESCALATED,MEDIUM
CASE003828,2024-01-20,CLOSED,HIGH
CASE000878,2024-08-30,ESCALATED,HIGH
CASE002864,2023-05-23,ESCALATED,HIGH
CASE001675,2024-08-25,CLOSED,MEDIUM
CASE000853,2024-03-18,OPEN,CRITICAL
CASE002389,2023-12-09,OPEN,MEDIUM
CASE002179,2023-04-11,CLOSED,CRITICAL
CASE004851,2024-09-27,CLOSED,HIGH
CASE004468,2023-09-20,CLOSED,MEDIUM
CASE002541,2024-12-29,CLOSED,CRITICAL
CASE003486,2023-06-28,ESCALATED,HIGH
CASE001101,2023-06-13,CLOSED,HIGH
CASE000103,2024-10-10,OPEN,MEDIUM
CASE004572,2023-10-18,OPEN,CRITICAL
CASE001799,2024-09-17,ESCALATED,CRITICAL
CASE000511,2023-07-21,OPEN,HIGH
CASE001070,2024-02-09,ESCALATED,HIGH
CASE002808,2023-06-10,ESCALATED,MEDIUM
CASE004746,2023-01-30,CLOSED,HIGH
CASE001745,2024-06-17,CLOSED,MEDIUM
CASE001518,2024-06-02,CLOSED,HIGH
CASE000263,2024-03-02,ESCALATED,MEDIUM
CASE002941,2023-05-03,CLOSED,CRITICAL
CASE001428,2024-04-20,OPEN,HIGH
CASE001811,2023-10-01,OPEN,MEDIUM
CASE004363,2023-03-11,ESCALATED,CRITICAL
CASE003237,2024-04-15,ESCALATED,CRITICAL
CASE003416,2024-04-14,OPEN,CRITICAL
CASE004519,2024-03-05,CLOSED,HIGH
CASE002384,2023-12-05,CLOSED,MEDIUM
CASE000120,2024-04-09,ESCALATED,HIGH
CASE002247,2023-05-14,ESCALATED,CRITICAL
CASE002213,2024-12-25,CLOSED,MEDIUM
CASE002991,2024-05-23,ESCALATED,CRITICAL
CASE003542,2024-03-19,CLOSED,CRITICAL
CASE003802,2023-10-11,ESCALATED,HIGH
CASE000694,2024-11-13,ESCALATED,MEDIUM
CASE000979,2024-01-09,OPEN,HIGH
CASE002662,2023-06-29,CLOSED,MEDIUM
CASE003725,2024-07-15,ESCALATED,CRITICAL
CASE002176,2024-05-31,CLOSED,MEDIUM
CASE004289,2024-05-15,OPEN,HIGH
CASE001067,2023-11-18,ESCALATED,HIGH
CASE001008,2024-05-10,OPEN,HIGH
CASE000798,2024-02-02,OPEN,CRITICAL
CASE003285,2023-08-25,OPEN,HIGH
CASE001916,2024-03-08,OPEN,CRITICAL
CASE002796,2024-08-03,OPEN,HIGH
CASE001931,2024-08-03,CLOSED,CRITICAL
CASE001664,2023-06-18,OPEN,MEDIUM
CASE002670,2023-12-10,OPEN,MEDIUM
CASE003891,2023-09-17,CLOSED,CRITICAL
CASE001432,2024-08-10,CLOSED,HIGH
CASE003640,2024-06-21,ESCALATED,CRITICAL
CASE003431,2024-10-14,ESCALATED,CRITICAL
CASE003028,2023-07-06,OPEN,CRITICAL
CASE001765,2023-06-18,ESCALATED,HIGH
CASE003493,2023-05-25,OPEN,MEDIUM
CASE001705,2024-06-01,CLOSED,CRITICAL
CASE002987,2023-04-14,CLOSED,MEDIUM
CASE001688,2024-11-03,CLOSED,CRITICAL
CASE002914,2023-01-30,CLOSED,CRITICAL
CASE002573,2024-03-04,CLOSED,HIGH
CASE001635,2023-07-04,CLOSED,MEDIUM
CASE000791,2023-05-17,CLOSED,CRITICAL
CASE003070,2024-04-30,OPEN,CRITICAL
CASE002724,2023-05-29,OPEN,MEDIUM
CASE003658,2024-12-17,OPEN,CRITICAL
CASE000723,2023-03-14,CLOSED,MEDIUM
CASE002500,2024-10-05,OPEN,CRITICAL
CASE000328,2024-08-15,ESCALATED,HIGH
CASE002548,2023-05-25,CLOSED,HIGH
CASE000914,2024-03-10,CLOSED,HIGH
CASE003150,2023-04-25,CLOSED,CRITICAL
CASE001089,2023-08-08,ESCALATED,CRITICAL
CASE001328,2024-06-12,OPEN,CRITICAL
CASE001479,2024-10-19,ESCALATED,CRITICAL
CASE004521,2024-04-03,ESCALATED,CRITICAL
CASE002165,2023-09-30,CLOSED,HIGH
CASE002070,2023-05-02,OPEN,HIGH
CASE001125,2024-06-26,CLOSED,MEDIUM
CASE004072,2023-11-23,CLOSED,CRITICAL
CASE002501,2023-01-28,CLOSED,MEDIUM
CASE003390,2023-03-18,OPEN,CRITICAL
CASE002412,2023-09-06,CLOSED,MEDIUM
CASE001936,2023-05-14,CLOSED,CRITICAL
CASE004476,2024-07-30,OPEN,CRITICAL
CASE002124,2024-08-18,OPEN,MEDIUM
CASE004187,2024-10-21,OPEN,HIGH
CASE003017,2024-10-26,CLOSED,HIGH
CASE003505,2023-11-14,ESCALATED,CRITICAL
CASE004203,2024-04-14,CLOSED,HIGH
CASE000601,2023-10-23,CLOSED,MEDIUM
CASE002606,2024-12-28,ESCALATED,CRITICAL
CASE004093,2023-03-10,CLOSED,MEDIUM
CASE000547,2023-06-17,OPEN,HIGH
CASE004394,2023-06-12,CLOSED,CRITICAL
CASE001229,2024-12-21,OPEN,CRITICAL
CASE002459,2024-01-02,CLOSED,CRITICAL
CASE001240,2024-01-02,CLOSED,HIGH
CASE004297,2023-03-07,OPEN,CRITICAL
CASE000824,2024-05-21,CLOSED,HIGH
CASE002024,2023-06-28,OPEN,CRITICAL
CASE002113,2024-10-15,ESCALATED,HIGH
CASE002151,2023-01-06,ESCALATED,HIGH
CASE002777,2023-09-11,ESCALATED,MEDIUM
CASE004050,2023-08-25,CLOSED,CRITICAL
CASE000463,2023-01-29,ESCALATED,CRITICAL
CASE004160,2024-02-01,ESCALATED,CRITICAL
CASE003215,2023-08-15,ESCALATED,CRITICAL
CASE002278,2023-04-14,OPEN,MEDIUM
CASE001112,2023-05-03,CLOSED,HIGH
CASE001440,2023-08-03,OPEN,HIGH
CASE001436,2023-07-27,OPEN,MEDIUM
CASE001603,2023-12-06,OPEN,CRITICAL
CASE002354,2023-03-10,CLOSED,CRITICAL
CASE003041,2024-01-22,ESCALATED,CRITICAL
CASE004906,2024-02-12,OPEN,CRITICAL
CASE002328,2023-01-17,CLOSED,HIGH
CASE002237,2023-01-22,ESCALATED,HIGH
CASE000212,2024-08-22,CLOSED,MEDIUM
CASE001494,2024-07-20,ESCALATED,CRITICAL
CASE000191,2023-10-03,ESCALATED,HIGH
CASE000872,2023-02-18,OPEN,HIGH
CASE000379,2023-07-10,CLOSED,CRITICAL
CASE002403,2024-12-25,CLOSED,CRITICAL
CASE002238,2023-09-27,CLOSED,HIGH
CASE000413,2023-07-13,OPEN,CRITICAL
CASE003525,2024-05-02,ESCALATED,CRITICAL
CASE004832,2024-08-16,ESCALATED,HIGH
CASE003954,2024-06-19,OPEN,CRITICAL
CASE003414,2023-03-22,ESCALATED,CRITICAL
CASE004700,2023-10-05,OPEN,CRITICAL
CASE003786,2024-11-13,OPEN,CRITICAL
CASE003845,2023-06-19,ESCALATED,CRITICAL
CASE004249,2024-02-25,OPEN,CRITICAL
CASE004128,2023-10-09,OPEN,HIGH
CASE000375,2024-09-16,OPEN,CRITICAL
CASE001976,2023-10-09,CLOSED,MEDIUM
CASE002406,2023-05-05,ESCALATED,HIGH
CASE004434,2024-10-13,ESCALATED,CRITICAL
CASE000675,2024-08-27,CLOSED,CRITICAL
CASE000822,2023-06-15,CLOSED,MEDIUM
CASE002479,2023-12-08,OPEN,MEDIUM
CASE001860,2024-04-05,OPEN,MEDIUM
CASE002168,2024-07-04,CLOSED,CRITICAL
CASE002528,2023-02-27,OPEN,HIGH
CASE001040,2024-09-29,ESCALATED,CRITICAL
CASE002488,2024-06-10,OPEN,MEDIUM
CASE001458,2024-06-11,OPEN,HIGH
CASE001152,2024-04-29,OPEN,HIGH
CASE004044,2023-09-22,ESCALATED,MEDIUM
CASE001654,2024-08-28,ESCALATED,MEDIUM
CASE003296,2023-05-03,ESCALATED,HIGH
CASE004432,2023-11-04,CLOSED,CRITICAL
CASE000550,2023-02-22,ESCALATED,MEDIUM
CASE002399,2024-03-12,CLOSED,MEDIUM
CASE001081,2024-03-30,OPEN,MEDIUM
CASE001075,2023-03-11,CLOSED,MEDIUM
CASE002036,2023-07-31,OPEN,HIGH
CASE000107,2023-12-23,ESCALATED,HIGH
CASE000467,2023-09-12,CLOSED,MEDIUM
CASE001751,2024-11-03,OPEN,MEDIUM
CASE004713,2023-11-21,OPEN,CRITICAL
CASE001109,2024-10-21,OPEN,MEDIUM
CASE002576,2024-10-24,CLOSED,CRITICAL
CASE000710,2024-12-21,CLOSED,HIGH
CASE002205,2023-02-27,ESCALATED,CRITICAL
CASE000243,2024-02-21,OPEN,CRITICAL
CASE004255,2023-05-01,ESCALATED,CRITICAL
CASE003164,2024-04-11,CLOSED,HIGH
CASE002971,2024-12-19,ESCALATED,HIGH
CASE002831,2024-01-18,ESCALATED,CRITICAL
CASE003318,2024-04-03,CLOSED,CRITICAL
CASE002227,2023-07-27,ESCALATED,CRITICAL
CASE000377,2023-07-06,CLOSED,CRITICAL
CASE000889,2023-02-16,CLOSED,MEDIUM
CASE003438,2023-10-05,ESCALATED,HIGH
CASE004869,2023-07-30,OPEN,CRITICAL
CASE000441,2023-11-21,CLOSED,CRITICAL
CASE001108,2023-03-12,CLOSED,HIGH
CASE000711,2024-09-01,ESCALATED,CRITICAL
CASE004252,2024-11-20,ESCALATED,HIGH
CASE002619,2024-09-12,CLOSED,HIGH
CASE001515,2023-10-22,ESCALATED,HIGH
CASE004081,2024-04-15,ESCALATED,MEDIUM
CASE003034,2023-01-25,ESCALATED,CRITICAL
CASE004976,2024-12-28,OPEN,CRITICAL
CASE001796,2023-01-08,CLOSED,HIGH
CASE001578,2024-03-22,ESCALATED,CRITICAL
CASE004951,2023-08-14,ESCALATED,HIGH
CASE004883,2024-09-28,OPEN,HIGH
CASE002932,2023-12-02,ESCALATED,HIGH
CASE004729,2024-06-12,ESCALATED,MEDIUM
CASE002203,2024-04-23,ESCALATED,MEDIUM
CASE003304,2024-10-05,ESCALATED,MEDIUM
CASE002781,2024-02-23,OPEN,MEDIUM
CASE003354,2024-07-26,OPEN,MEDIUM
CASE001100,2024-06-04,OPEN,MEDIUM
CASE003994,2024-01-18,CLOSED,MEDIUM
CASE002261,2024-07-27,ESCALATED,CRITICAL
CASE000185,2023-04-19,ESCALATED,HIGH
CASE000962,2024-05-26,CLOSED,HIGH
CASE001893,2024-08-28,OPEN,MEDIUM
CASE001469,2023-04-08,ESCALATED,CRITICAL
CASE003582,2024-07-18,CLOSED,CRITICAL
CASE004911,2024-05-20,ESCALATED,HIGH
CASE003219,2023-02-14,OPEN,HIGH
CASE001361,2024-01-02,OPEN,MEDIUM
CASE004880,2024-11-07,ESCALATED,CRITICAL
CASE004041,2024-06-24,CLOSED,CRITICAL
CASE000864,2023-02-18,CLOSED,MEDIUM
CASE003854,2023-10-24,CLOSED,MEDIUM
CASE000028,2023-03-24,CLOSED,MEDIUM
CASE004316,2024-12-27,CLOSED,CRITICAL
CASE000181,2024-04-05,OPEN,HIGH
CASE003062,2024-12-25,OPEN,CRITICAL
CASE001898,2024-01-05,ESCALATED,CRITICAL
CASE003717,2023-11-25,ESCALATED,CRITICAL
CASE001293,2023-06-14,CLOSED,HIGH
CASE003026,2024-05-13,OPEN,HIGH
CASE002117,2023-08-28,ESCALATED,CRITICAL
CASE002727,2024-05-31,CLOSED,HIGH
CASE000649,2024-12-27,ESCALATED,CRITICAL
CASE003870,2024-09-04,CLOSED,CRITICAL
CASE001825,2023-11-28,ESCALATED,MEDIUM
CASE003037,2023-11-09,OPEN,CRITICAL
CASE001195,2024-04-29,OPEN,HIGH
CASE001827,2024-09-10,ESCALATED,HIGH
CASE000858,2024-09-24,OPEN,HIGH
CASE000531,2024-05-27,OPEN,MEDIUM
CASE003520,2024-06-21,CLOSED,MEDIUM
