ALERT_ID,CASE_ID,ACCOUNT_ID,CUSTOMER_ID,TRANSACTION_ID,ALERT_SCORE,ALERT_DATE,IS_STR,ACCOUNT_TYPE,ACCOUNT_RISK,CUSTOMER_TYPE,KYC_RISK,AVG_TXN
AL0000195,CASE002910,ACCT008177,CUST005271,TXN0002294,95,2024-09-01,1,NRE,HIGH,INDIVIDUAL,MEDIUM,29059
AL0000196,CASE002435,ACCT000835,CUST002213,TXN0002302,66,2023-02-08,0,NRE,HIGH,INDIVIDUAL,LOW,46420
AL0000197,CASE002179,ACCT002472,CUST001595,TXN0002310,66,2024-10-11,0,NRO,HIGH,CORPORATE,MEDIUM,28456
AL0000198,CASE003349,ACCT001577,CUST001872,TXN0002318,77,2023-10-29,0,NRE,MEDIUM,INDIVIDUAL,MEDIUM,19706
AL0000199,CASE002017,ACCT004256,CUST002929,TXN0002326,95,2023-12-27,1,NRE,HIGH,INDIVIDUAL,MEDIUM,25110
AL0000200,CASE003529,ACCT008873,CUST004210,TXN0002334,80,2024-08-14,1,CURRENT,LOW,INDIVIDUAL,LOW,3161
AL0000201,CASE002501,ACCT007601,CUST005049,TXN0002342,68,2024-09-07,0,SAVINGS,HIGH,CORPORATE,MEDIUM,31458
AL0000202,CASE002176,ACCT005201,CUST003708,TXN0002350,86,2024-08-02,0,NRO,MEDIUM,INDIVIDUAL,HIGH,39527
AL0000203,CASE004376,ACCT003827,CUST003373,TXN0002358,67,2023-08-28,0,NRE,MEDIUM,INDIVIDUAL,MEDIUM,54078
AL0000204,CASE002299,ACCT003570,CUST003466,TXN0002366,94,2023-02-28,1,NRO,HIGH,INDIVIDUAL,HIGH,51376
AL0000205,CASE000853,ACCT005718,CUST004212,TXN0002374,76,2024-09-08,0,NRO,HIGH,CORPORATE,MEDIUM,18357
AL0000206,CASE001599,ACCT007104,CUST005055,TXN0002382,67,2023-01-08,0,NRE,LOW,CORPORATE,HIGH,6072
AL0000207,CASE001916,ACCT008459,CUST004576,TXN0002390,80,2023-03-08,0,NRE,HIGH,CORPORATE,LOW,44245
AL0000208,CASE001266,ACCT002155,CUST003168,TXN0002398,80,2024-11-21,0,CURRENT,LOW,CORPORATE,HIGH,36068
AL0000209,CASE001506,ACCT005076,CUST005951,TXN0002406,85,2024-04-09,0,CURRENT,HIGH,INDIVIDUAL,HIGH,11930
AL0000210,CASE004719,ACCT008469,CUST005306,TXN0002414,77,2023-03-17,0,NRO,HIGH,INDIVIDUAL,HIGH,36303
AL0000211,CASE003762,ACCT008049,CUST005411,TXN0002422,65,2023-01-30,0,CURRENT,MEDIUM,CORPORATE,LOW,50999
AL0000212,CASE002808,ACCT006816,CUST004000,TXN0002430,79,2024-08-12,0,CURRENT,HIGH,CORPORATE,HIGH,50750
AL0000213,CASE003195,ACCT007892,CUST004693,TXN0002438,85,2024-07-09,0,NRO,HIGH,INDIVIDUAL,MEDIUM,14815
AL0000214,CASE003581,ACCT001020,CUST003720,TXN0002446,93,2023-05-01,1,NRO,MEDIUM,CORPORATE,LOW,4581
AL0000215,CASE000351,ACCT008994,CUST001982,TXN0002454,93,2024-12-29,1,NRE,HIGH,INDIVIDUAL,MEDIUM,37782
AL0000216,CASE000954,ACCT006612,CUST002652,TXN0002462,93,2023-10-18,1,SAVINGS,LOW,INDIVIDUAL,HIGH,48745
AL0000217,CASE003150,ACCT001096,CUST005683,TXN0002470,71,2024-05-27,0,CURRENT,HIGH,CORPORATE,LOW,19921
AL0000218,CASE002734,ACCT004397,CUST003162,TXN0002478,69,2024-08-25,0,NRO,LOW,INDIVIDUAL,MEDIUM,53814
AL0000219,CASE004564,ACCT006396,CUST000734,TXN0002486,69,2023-04-05,0,NRE,LOW,INDIVIDUAL,HIGH,53013
AL0000220,CASE003834,ACCT004089,CUST004141,TXN0002494,83,2023-02-14,0,NRE,HIGH,INDIVIDUAL,HIGH,39189
AL0000221,CASE002209,ACCT006909,CUST002993,TXN0002502,81,2024-01-02,0,SAVINGS,LOW,INDIVIDUAL,MEDIUM,53206
AL0000222,CASE002459,ACCT006987,CUST002951,TXN0002510,75,2024-10-15,0,CURRENT,MEDIUM,INDIVIDUAL,LOW,29297
AL0000223,CASE000153,ACCT002467,CUST000371,TXN0002518,85,2024-01-09,0,NRO,HIGH,CORPORATE,LOW,23517
AL0000224,CASE003602,ACCT006097,CUST002113,TXN0002526,89,2024-02-20,1,CURRENT,LOW,CORPORATE,LOW,13789
AL0000225,CASE002036,ACCT008643,CUST005832,TXN0002534,95,2023-11-16,1,CURRENT,HIGH,INDIVIDUAL,LOW,24192
AL0000226,CASE003493,ACCT005513,CUST002718,TXN0002542,78,2023-08-12,0,NRE,LOW,INDIVIDUAL,HIGH,15035
AL0000227,CASE001854,ACCT000647,CUST004579,TXN0002550,91,2023-01-31,1,SAVINGS,LOW,CORPORATE,LOW,20112
AL0000228,CASE001152,ACCT005386,CUST005939,TXN0002558,73,2023-12-05,0,SAVINGS,LOW,CORPORATE,MEDIUM,15168
AL0000229,CASE003521,ACCT007013,CUST002498,TXN0002566,91,2023-10-15,1,NRO,MEDIUM,INDIVIDUAL,HIGH,38561
AL0000230,CASE003422,ACCT008732,CUST005547,TXN0002574,76,2024-06-03,0,SAVINGS,LOW,CORPORATE,HIGH,23715
AL0000231,CASE002083,ACCT001280,CUST001435,TXN0002582,65,2023-04-13,0,NRE,HIGH,INDIVIDUAL,LOW,30952
AL0000232,CASE003135,ACCT001003,CUST001424,TXN0002590,93,2024-03-30,1,NRE,LOW,CORPORATE,HIGH,46212
AL0000233,CASE004176,ACCT008274,CUST001470,TXN0002598,84,2023-08-23,0,NRE,LOW,INDIVIDUAL,LOW,10064
AL0000234,CASE004264,ACCT007303,CUST005352,TXN0002606,91,2024-02-07,1,SAVINGS,HIGH,CORPORATE,HIGH,55582
AL0000235,CASE002203,ACCT005378,CUST005773,TXN0002614,86,2023-02-11,0,NRO,HIGH,CORPORATE,MEDIUM,5230
AL0000236,CASE003444,ACCT007827,CUST003366,TXN0002622,69,2023-07-03,1,CURRENT,HIGH,INDIVIDUAL,HIGH,52654
AL0000237,CASE004021,ACCT000409,CUST002453,TXN0002630,71,2024-02-27,0,SAVINGS,HIGH,CORPORATE,MEDIUM,41568
AL0000238,CASE003858,ACCT002142,CUST005300,TXN0002638,90,2024-10-23,1,SAVINGS,MEDIUM,CORPORATE,LOW,47263
AL0000239,CASE000170,ACCT008734,CUST000716,TXN0002646,89,2024-07-13,1,NRO,MEDIUM,CORPORATE,MEDIUM,23616
AL0000240,CASE002845,ACCT003563,CUST004185,TXN0002654,90,2024-07-30,1,CURRENT,MEDIUM,CORPORATE,MEDIUM,21467
AL0000241,CASE004224,ACCT007114,CUST000214,TXN0002662,78,2024-09-17,0,SAVINGS,HIGH,INDIVIDUAL,HIGH,38441
AL0000242,CASE002735,ACCT001296,CUST005463,TXN0002670,94,2023-03-25,1,CURRENT,LOW,INDIVIDUAL,HIGH,11751
AL0000243,CASE003764,ACCT006853,CUST001809,TXN0002678,94,2024-01-12,1,NRO,MEDIUM,CORPORATE,MEDIUM,20425
AL0000244,CASE003113,ACCT006224,CUST005905,TXN0002686,86,2024-02-23,1,NRE,LOW,INDIVIDUAL,MEDIUM,11831
AL0000245,CASE003348,ACCT003646,CUST001942,TXN0002694,66,2023-04-20,0,SAVINGS,LOW,INDIVIDUAL,HIGH,8380
AL0000246,CASE002378,ACCT003163,CUST005324,TXN0002702,65,2023-01-22,0,SAVINGS,HIGH,CORPORATE,HIGH,3184
AL0000247,CASE001686,ACCT006670,CUST000261,TXN0002710,68,2023-08-11,0,NRE,HIGH,CORPORATE,HIGH,52291
AL0000248,CASE003037,ACCT003068,CUST002703,TXN0002718,79,2023-09-20,0,NRO,MEDIUM,INDIVIDUAL,HIGH,22653
AL0000249,CASE003737,ACCT001710,CUST000373,TXN0002726,66,2023-07-12,0,SAVINGS,HIGH,CORPORATE,MEDIUM,40847
AL0000250,CASE004741,ACCT008117,CUST003917,TXN0002734,68,2024-02-21,0,CURRENT,HIGH,CORPORATE,HIGH,39557
AL0000251,CASE001595,ACCT000535,CUST002087,TXN0002742,65,2024-05-23,0,SAVINGS,LOW,INDIVIDUAL,HIGH,56891
AL0000252,CASE001039,ACCT001575,CUST003524,TXN0002750,85,2024-06-13,0,SAVINGS,LOW,CORPORATE,HIGH,15589
AL0000253,CASE003255,ACCT005227,CUST001537,TXN0002758,88,2024-03-07,1,NRE,LOW,CORPORATE,MEDIUM,12265
AL0000254,CASE001040,ACCT007849,CUST000641,TXN0002766,88,2024-05-04,1,SAVINGS,MEDIUM,CORPORATE,MEDIUM,50223
AL0000255,CASE004297,ACCT002197,CUST000615,TXN0002774,76,2024-04-26,0,NRE,LOW,CORPORATE,LOW,29298
AL0000256,CASE004640,ACCT007464,CUST001224,TXN0002782,85,2024-10-18,0,CURRENT,HIGH,CORPORATE,MEDIUM,14675
AL0000257,CASE004528,ACCT002570,CUST001241,TXN0002790,77,2024-05-21,0,NRE,HIGH,INDIVIDUAL,MEDIUM,21462
AL0000258,CASE000109,ACCT005679,CUST000627,TXN0002798,68,2024-07-25,0,NRE,MEDIUM,CORPORATE,LOW,21084
AL0000259,CASE002354,ACCT005562,CUST004371,TXN0002806,80,2024-06-23,0,NRE,HIGH,INDIVIDUAL,HIGH,25862
AL0000260,CASE004618,ACCT007937,CUST005413,TXN0002814,93,2023-08-13,1,NRE,MEDIUM,INDIVIDUAL,MEDIUM,59970
AL0000261,CASE003284,ACCT005641,CUST004786,TXN0002822,92,2023-12-22,1,CURRENT,LOW,CORPORATE,MEDIUM,50911
AL0000262,CASE001605,ACCT008359,CUST004856,TXN0002830,66,2024-01-03,0,NRE,LOW,CORPORATE,LOW,7702
AL0000263,CASE000048,ACCT007003,CUST001528,TXN0002838,87,2024-04-13,1,CURRENT,HIGH,INDIVIDUAL,LOW,15352
AL0000264,CASE001739,ACCT006184,CUST002586,TXN0002846,81,2023-12-10,0,NRO,HIGH,CORPORATE,HIGH,12639
AL0000265,CASE001100,ACCT006848,CUST004628,TXN0002854,65,2023-03-05,0,CURRENT,MEDIUM,CORPORATE,HIGH,37279
AL0000266,CASE002516,ACCT006071,CUST000873,TXN0002862,70,2023-09-05,0,SAVINGS,HIGH,CORPORATE,HIGH,54493
AL0000267,CASE000449,ACCT003866,CUST000448,TXN0002870,71,2024-08-17,0,SAVINGS,MEDIUM,CORPORATE,MEDIUM,26565
AL0000268,CASE001469,ACCT001633,CUST002283,TXN0002878,90,2023-12-28,1,SAVINGS,LOW,INDIVIDUAL,MEDIUM,15844
AL0000269,CASE001260,ACCT008967,CUST000975,TXN0002886,73,2024-05-31,0,NRO,MEDIUM,CORPORATE,MEDIUM,36266
AL0000270,CASE002931,ACCT000583,CUST004752,TXN0002894,72,2024-11-23,0,NRO,HIGH,INDIVIDUAL,HIGH,4131
AL0000271,CASE003034,ACCT008342,CUST002739,TXN0002902,68,2023-10-16,0,NRE,HIGH,CORPORATE,LOW,26988
AL0000272,CASE003520,ACCT007455,CUST004549,TXN0002910,80,2024-09-19,0,NRE,MEDIUM,CORPORATE,MEDIUM,24932
AL0000273,CASE004872,ACCT001651,CUST005757,TXN0002918,70,2024-07-28,0,NRO,MEDIUM,CORPORATE,LOW,58388
AL0000274,CASE003971,ACCT004707,CUST002205,TXN0002926,70,2023-07-06,0,CURRENT,HIGH,INDIVIDUAL,LOW,12629
AL0000275,CASE001343,ACCT004599,CUST004687,TXN0002934,67,2024-11-25,1,NRE,HIGH,INDIVIDUAL,HIGH,53918
AL0000276,CASE000678,ACCT008027,CUST004868,TXN0002942,81,2024-08-02,0,NRE,LOW,INDIVIDUAL,LOW,3123
AL0000277,CASE001858,ACCT005332,CUST005491,TXN0002950,85,2023-05-18,0,SAVINGS,LOW,INDIVIDUAL,MEDIUM,25511
AL0000278,CASE003951,ACCT005710,CUST002981,TXN0002958,83,2023-01-28,1,CURRENT,HIGH,CORPORATE,LOW,23862
AL0000279,CASE002045,ACCT005662,CUST003792,TXN0002966,76,2023-02-16,1,CURRENT,MEDIUM,CORPORATE,LOW,55513
AL0000280,CASE004157,ACCT006240,CUST004236,TXN0002974,90,2024-11-06,1,NRO,HIGH,CORPORATE,MEDIUM,46195
AL0000281,CASE002184,ACCT004347,CUST001437,TXN0002982,90,2023-02-08,1,SAVINGS,HIGH,CORPORATE,MEDIUM,22379
AL0000282,CASE003389,ACCT001963,CUST005895,TXN0002990,94,2023-02-03,1,CURRENT,MEDIUM,CORPORATE,HIGH,31324
AL0000283,CASE002099,ACCT003814,CUST000561,TXN0002998,67,2023-01-30,0,NRE,HIGH,CORPORATE,HIGH,54628
AL0000284,CASE003035,ACCT000896,CUST003024,TXN0003006,71,2024-05-26,0,NRO,MEDIUM,INDIVIDUAL,LOW,49849
AL0000285,CASE000533,ACCT001445,CUST005366,TXN0003014,89,2023-10-11,1,NRE,HIGH,INDIVIDUAL,HIGH,47614
AL0000286,CASE004090,ACCT003774,CUST003517,TXN0003022,70,2024-02-24,1,NRO,MEDIUM,INDIVIDUAL,MEDIUM,38369
AL0000287,CASE000211,ACCT002386,CUST003327,TXN0003030,84,2023-01-06,0,NRO,MEDIUM,INDIVIDUAL,LOW,57081
AL0000288,CASE004363,ACCT008276,CUST005790,TXN0003038,78,2023-03-31,1,CURRENT,LOW,CORPORATE,LOW,27519
AL0000289,CASE000441,ACCT006451,CUST003383,TXN0003046,84,2024-10-14,0,NRO,LOW,INDIVIDUAL,MEDIUM,28903
AL0000290,CASE004606,ACCT003656,CUST005048,TXN0003054,95,2024-05-06,1,NRE,LOW,CORPORATE,HIGH,22685
AL0000291,CASE004041,ACCT006935,CUST001992,TXN0003062,65,2024-08-25,0,NRE,MEDIUM,CORPORATE,MEDIUM,50786
AL0000292,CASE003215,ACCT005577,CUST004548,TXN0003070,76,2023-10-03,0,CURRENT,MEDIUM,CORPORATE,MEDIUM,10485
AL0000293,CASE002727,ACCT000211,CUST002172,TXN0003078,65,2024-06-27,0,CURRENT,MEDIUM,INDIVIDUAL,HIGH,11776
AL0000294,CASE001667,ACCT000666,CUST005135,TXN0003086,95,2023-08-06,0,NRO,HIGH,INDIVIDUAL,MEDIUM,17632
AL0000295,CASE003318,ACCT001229,CUST003847,TXN0003094,84,2024-11-21,0,CURRENT,HIGH,INDIVIDUAL,HIGH,6242
AL0000296,CASE000858,ACCT000403,CUST005011,TXN0003102,75,2024-03-24,0,CURRENT,MEDIUM,CORPORATE,MEDIUM,56571
AL0000297,CASE001912,ACCT004401,CUST003392,TXN0003110,74,2024-08-29,0,NRO,LOW,CORPORATE,HIGH,17259
AL0000298,CASE004690,ACCT007224,CUST005667,TXN0003118,65,2023-11-16,0,SAVINGS,LOW,CORPORATE,MEDIUM,4113
AL0000299,CASE003028,ACCT002597,CUST005537,TXN0003126,76,2023-08-11,0,SAVINGS,HIGH,CORPORATE,LOW,32921
AL0000300,CASE000357,ACCT002143,CUST001566,TXN0003134,84,2024-08-10,0,NRO,MEDIUM,CORPORATE,LOW,10110
AL0000301,CASE004966,ACCT006627,CUST003720,TXN0003142,69,2024-09-08,0,NRE,HIGH,CORPORATE,LOW,4581
AL0000302,CASE003505,ACCT004121,CUST002573,TXN0003150,79,2023-09-27,0,CURRENT,HIGH,INDIVIDUAL,HIGH,26175
AL0000303,CASE000528,ACCT005455,CUST000940,TXN0003158,73,2023-09-17,0,NRE,LOW,INDIVIDUAL,HIGH,37410
AL0000304,CASE000494,ACCT008329,CUST003887,TXN0003166,91,2024-11-15,1,SAVINGS,HIGH,CORPORATE,MEDIUM,37763
AL0000305,CASE001339,ACCT002541,CUST004890,TXN0003174,91,2023-09-12,0,NRO,HIGH,INDIVIDUAL,MEDIUM,44631
AL0000306,CASE002445,ACCT005834,CUST005895,TXN0003182,95,2024-09-11,0,NRE,LOW,CORPORATE,HIGH,31324
AL0000307,CASE002894,ACCT002778,CUST000962,TXN0003190,81,2023-05-22,0,CURRENT,LOW,INDIVIDUAL,LOW,43990
AL0000308,CASE002089,ACCT003824,CUST001746,TXN0003198,70,2023-07-31,0,CURRENT,LOW,CORPORATE,LOW,35599
AL0000309,CASE001766,ACCT007990,CUST004786,TXN0003206,83,2023-05-09,0,CURRENT,MEDIUM,CORPORATE,MEDIUM,50911
AL0000310,CASE003735,ACCT001923,CUST005493,TXN0003214,77,2023-11-06,1,NRO,HIGH,INDIVIDUAL,MEDIUM,43329
AL0000311,CASE003919,ACCT007261,CUST005982,TXN0003222,95,2023-03-13,1,NRE,MEDIUM,CORPORATE,MEDIUM,54782
AL0000312,CASE001322,ACCT001073,CUST000330,TXN0003230,75,2023-09-26,0,SAVINGS,MEDIUM,INDIVIDUAL,HIGH,43889
AL0000313,CASE001608,ACCT000133,CUST001797,TXN0003238,66,2024-10-26,0,CURRENT,MEDIUM,INDIVIDUAL,MEDIUM,12122
AL0000314,CASE003674,ACCT001098,CUST002362,TXN0003246,83,2024-11-29,0,NRE,HIGH,INDIVIDUAL,HIGH,44966
AL0000315,CASE001101,ACCT002288,CUST002957,TXN0003254,68,2024-05-07,1,NRE,MEDIUM,INDIVIDUAL,HIGH,52046
AL0000316,CASE002213,ACCT002268,CUST000532,TXN0003262,81,2024-12-24,0,CURRENT,LOW,CORPORATE,HIGH,45604
AL0000317,CASE002399,ACCT000278,CUST005294,TXN0003270,80,2023-03-03,0,NRE,MEDIUM,INDIVIDUAL,MEDIUM,55186
AL0000318,CASE004979,ACCT006821,CUST004877,TXN0003278,71,2023-09-04,0,NRE,LOW,CORPORATE,HIGH,5311
AL0000319,CASE000797,ACCT002067,CUST005177,TXN0003286,77,2023-02-15,0,SAVINGS,MEDIUM,CORPORATE,MEDIUM,44607
AL0000320,CASE002722,ACCT003446,CUST003794,TXN0003294,81,2023-05-07,0,CURRENT,MEDIUM,CORPORATE,LOW,42549
AL0000321,CASE004521,ACCT006206,CUST001507,TXN0003302,78,2024-02-17,1,SAVINGS,LOW,INDIVIDUAL,MEDIUM,39697
AL0000322,CASE002932,ACCT005012,CUST002709,TXN0003310,88,2024-02-08,1,NRO,LOW,CORPORATE,LOW,49997
AL0000323,CASE000884,ACCT001789,CUST001936,TXN0003318,90,2024-07-16,1,NRE,HIGH,CORPORATE,MEDIUM,31549
AL0000324,CASE003726,ACCT007067,CUST001658,TXN0003326,91,2023-03-27,1,NRO,HIGH,CORPORATE,HIGH,50654
AL0000325,CASE003009,ACCT006252,CUST005657,TXN0003334,84,2023-09-20,0,NRO,MEDIUM,INDIVIDUAL,MEDIUM,22545
AL0000326,CASE002754,ACCT004430,CUST000763,TXN0003342,82,2023-05-06,0,SAVINGS,HIGH,INDIVIDUAL,LOW,44569
AL0000327,CASE000872,ACCT005112,CUST001835,TXN0003350,85,2024-04-05,0,SAVINGS,MEDIUM,CORPORATE,HIGH,19189
AL0000328,CASE001515,ACCT003998,CUST002004,TXN0003358,74,2024-07-12,0,SAVINGS,MEDIUM,INDIVIDUAL,HIGH,43702
AL0000329,CASE001735,ACCT004069,CUST001681,TXN0003366,65,2023-12-28,0,SAVINGS,LOW,CORPORATE,MEDIUM,44541
AL0000330,CASE003026,ACCT007338,CUST000555,TXN0003374,88,2024-06-21,0,SAVINGS,LOW,CORPORATE,LOW,11795
AL0000331,CASE003717,ACCT003661,CUST004671,TXN0003382,72,2023-07-03,0,CURRENT,HIGH,CORPORATE,MEDIUM,27299
AL0000332,CASE000212,ACCT000984,CUST003691,TXN0003390,86,2024-12-10,1,NRO,HIGH,INDIVIDUAL,LOW,51007
AL0000333,CASE004412,ACCT000378,CUST002458,TXN0003398,67,2023-10-05,0,NRE,HIGH,CORPORATE,HIGH,45374
AL0000334,CASE002680,ACCT006671,CUST004678,TXN0003406,68,2023-02-22,0,CURRENT,HIGH,INDIVIDUAL,HIGH,47835
AL0000335,CASE000889,ACCT003500,CUST001512,TXN0003414,70,2024-09-06,0,NRE,MEDIUM,CORPORATE,HIGH,47215
AL0000336,CASE002255,ACCT005856,CUST005933,TXN0003422,65,2023-10-24,0,SAVINGS,MEDIUM,CORPORATE,HIGH,29764
AL0000337,CASE000009,ACCT006855,CUST000414,TXN0003430,88,2023-08-16,1,SAVINGS,MEDIUM,INDIVIDUAL,LOW,6435
AL0000338,CASE003375,ACCT005692,CUST004519,TXN0003438,72,2023-02-02,0,NRO,HIGH,CORPORATE,MEDIUM,12290
AL0000339,CASE001175,ACCT003056,CUST001813,TXN0003446,79,2023-03-17,0,CURRENT,MEDIUM,INDIVIDUAL,HIGH,11320
AL0000340,CASE004339,ACCT004159,CUST002047,TXN0003454,76,2024-04-25,0,NRO,MEDIUM,INDIVIDUAL,LOW,21026
AL0000341,CASE004797,ACCT002694,CUST001441,TXN0003462,71,2023-04-26,0,CURRENT,MEDIUM,CORPORATE,LOW,37409
AL0000342,CASE000270,ACCT007682,CUST004461,TXN0003470,65,2023-02-13,0,CURRENT,LOW,INDIVIDUAL,LOW,8494
AL0000343,CASE000631,ACCT003369,CUST001637,TXN0003478,81,2023-09-07,0,CURRENT,HIGH,INDIVIDUAL,LOW,18922
AL0000344,CASE002117,ACCT005518,CUST001459,TXN0003486,91,2023-03-30,0,SAVINGS,MEDIUM,INDIVIDUAL,MEDIUM,25372
AL0000345,CASE003944,ACCT008533,CUST001134,TXN0003494,76,2024-11-28,0,NRO,HIGH,CORPORATE,MEDIUM,29175
AL0000346,CASE003683,ACCT006834,CUST000988,TXN0003501,80,2023-09-18,0,SAVINGS,MEDIUM,CORPORATE,LOW,19397
AL0000347,CASE000701,ACCT003731,CUST002767,TXN0003508,91,2024-03-25,1,NRE,MEDIUM,INDIVIDUAL,MEDIUM,37792
AL0000348,CASE004934,ACCT005663,CUST003649,TXN0003515,69,2024-04-20,0,SAVINGS,LOW,CORPORATE,LOW,42979
AL0000349,CASE000700,ACCT006385,CUST004621,TXN0003522,86,2024-01-15,1,NRO,HIGH,INDIVIDUAL,MEDIUM,33974
AL0000350,CASE003924,ACCT006466,CUST001539,TXN0003529,86,2023-09-20,1,CURRENT,HIGH,INDIVIDUAL,HIGH,49375
AL0000351,CASE002910,ACCT001532,CUST002471,TXN0003536,84,2024-02-02,0,SAVINGS,HIGH,INDIVIDUAL,LOW,55641
AL0000352,CASE003426,ACCT001233,CUST005675,TXN0003543,78,2024-04-08,0,CURRENT,MEDIUM,INDIVIDUAL,HIGH,22785
AL0000353,CASE001672,ACCT003237,CUST002240,TXN0003550,79,2023-04-03,0,NRE,LOW,CORPORATE,MEDIUM,13549
AL0000354,CASE001845,ACCT005353,CUST001838,TXN0003557,87,2023-03-20,0,NRE,HIGH,INDIVIDUAL,LOW,12590
AL0000355,CASE001206,ACCT007201,CUST000741,TXN0003564,77,2023-03-02,0,NRE,HIGH,INDIVIDUAL,MEDIUM,40364
AL0000356,CASE000875,ACCT008838,CUST004634,TXN0003571,75,2023-04-14,0,NRE,MEDIUM,CORPORATE,HIGH,55308
AL0000357,CASE001041,ACCT004077,CUST002293,TXN0003578,87,2024-07-20,1,CURRENT,LOW,INDIVIDUAL,HIGH,5007
AL0000358,CASE000534,ACCT004255,CUST004338,TXN0003585,89,2024-01-11,0,SAVINGS,HIGH,INDIVIDUAL,MEDIUM,36024
AL0000359,CASE000920,ACCT001733,CUST004099,TXN0003592,87,2024-05-15,1,NRE,LOW,CORPORATE,LOW,5592
AL0000360,CASE000461,ACCT003834,CUST001147,TXN0003599,81,2024-02-25,0,SAVINGS,MEDIUM,CORPORATE,HIGH,23037
AL0000361,CASE004197,ACCT005409,CUST003821,TXN0003606,81,2024-05-17,0,CURRENT,LOW,CORPORATE,HIGH,50705
AL0000362,CASE001600,ACCT006420,CUST004891,TXN0003613,73,2024-06-30,0,NRE,LOW,CORPORATE,HIGH,58775
AL0000363,CASE004637,ACCT006051,CUST000739,TXN0003620,68,2024-09-18,0,NRE,HIGH,INDIVIDUAL,LOW,45196
AL0000364,CASE003017,ACCT004315,CUST005773,TXN0003627,94,2023-05-04,1,CURRENT,MEDIUM,CORPORATE,MEDIUM,5230
AL0000365,CASE002971,ACCT007568,CUST002221,TXN0003634,66,2023-12-01,0,NRO,LOW,INDIVIDUAL,MEDIUM,57435
AL0000366,CASE003652,ACCT004456,CUST002307,TXN0003641,84,2023-04-02,0,NRE,MEDIUM,CORPORATE,HIGH,24258
AL0000367,CASE004572,ACCT000899,CUST004350,TXN0003648,93,2024-07-04,1,NRO,LOW,INDIVIDUAL,HIGH,5581
AL0000368,CASE001650,ACCT005039,CUST000324,TXN0003655,85,2024-11-17,0,CURRENT,LOW,CORPORATE,LOW,56686
AL0000369,CASE003554,ACCT003983,CUST004644,TXN0003662,71,2024-11-10,0,NRE,HIGH,INDIVIDUAL,MEDIUM,38574
AL0000370,CASE003685,ACCT002703,CUST004653,TXN0003669,93,2023-06-20,1,NRE,HIGH,CORPORATE,MEDIUM,13998
AL0000371,CASE001179,ACCT005185,CUST005501,TXN0003676,72,2023-07-06,0,NRO,LOW,CORPORATE,HIGH,19402
AL0000372,CASE004258,ACCT001153,CUST005871,TXN0003683,79,2024-01-04,0,NRO,LOW,INDIVIDUAL,MEDIUM,32423
AL0000373,CASE002481,ACCT006292,CUST002348,TXN0003690,82,2023-09-06,0,CURRENT,LOW,CORPORATE,LOW,13495
AL0000374,CASE000214,ACCT005080,CUST003409,TXN0003697,70,2024-01-17,0,NRE,HIGH,INDIVIDUAL,MEDIUM,27386
AL0000375,CASE001734,ACCT000103,CUST002657,TXN0003704,87,2024-06-20,1,SAVINGS,LOW,CORPORATE,MEDIUM,33302
AL0000376,CASE003259,ACCT000379,CUST003746,TXN0003711,67,2024-09-10,0,CURRENT,HIGH,CORPORATE,HIGH,3891
AL0000377,CASE002554,ACCT002804,CUST004327,TXN0003718,78,2024-04-09,0,NRO,HIGH,INDIVIDUAL,HIGH,54051
AL0000378,CASE003739,ACCT006844,CUST004296,TXN0003725,74,2024-03-29,0,NRE,HIGH,INDIVIDUAL,MEDIUM,26347
AL0000379,CASE003807,ACCT002715,CUST003835,TXN0003732,65,2023-11-26,0,NRE,MEDIUM,INDIVIDUAL,HIGH,22437
AL0000380,CASE001078,ACCT002667,CUST003870,TXN0003739,84,2023-01-22,0,SAVINGS,MEDIUM,INDIVIDUAL,MEDIUM,7163
AL0000381,CASE002636,ACCT005388,CUST002410,TXN0003746,69,2023-08-03,0,NRO,MEDIUM,INDIVIDUAL,MEDIUM,17998
AL0000382,CASE002309,ACCT000115,CUST001742,TXN0003753,89,2024-03-19,1,SAVINGS,LOW,INDIVIDUAL,HIGH,10378
AL0000383,CASE002412,ACCT005280,CUST001093,TXN0003760,93,2024-04-15,1,CURRENT,MEDIUM,CORPORATE,MEDIUM,53580
AL0000384,CASE000243,ACCT008417,CUST001393,TXN0003767,77,2023-05-26,0,CURRENT,MEDIUM,INDIVIDUAL,LOW,4666
AL0000385,CASE001118,ACCT001519,CUST003673,TXN0003774,84,2024-12-06,0,NRO,HIGH,INDIVIDUAL,LOW,16116
AL0000386,CASE003845,ACCT001810,CUST005117,TXN0003781,87,2024-09-29,1,SAVINGS,HIGH,CORPORATE,HIGH,46222
AL0000387,CASE000983,ACCT004275,CUST002606,TXN0003788,72,2024-04-11,0,NRE,LOW,CORPORATE,MEDIUM,8573
AL0000388,CASE001573,ACCT003829,CUST005625,TXN0003795,95,2024-09-10,1,CURRENT,MEDIUM,INDIVIDUAL,LOW,18677
AL0000389,CASE004844,ACCT002821,CUST000953,TXN0003802,65,2023-05-15,0,NRO,HIGH,INDIVIDUAL,MEDIUM,40603
AL0000390,CASE004080,ACCT003054,CUST000375,TXN0003809,72,2024-02-02,0,NRO,MEDIUM,CORPORATE,HIGH,30899
